broid,instantie
05084212,4Infra
18125438,Aannemersbedrijf van Wijlen
37061883,Aannemingsmaatschappij De Vries & Van de Wiel
08022082,Aannemingsmaatschappij Van Gelder
82955123,Aardwarmte Techniek Nederland
09110804,ABT
02037102,AbtWassenaar.
02442829,Acacia Water
24316426,Adviesbureau C.G.M. Schrijvers
14048216,Aelmans Eco
09131961,Aequator Groen & Ruimte
20051141,AGEL adviseurs
29021830,Antea Nederland
55480209,APcon Adviesbureau
09036504,Arcadis Nederland
17159750,Archimil
24318211,Artesia
27177140,ATKB
52861724,Avallo Advies
82361185,Avallo Advies
30169759,Aveco de Bondt
28025419,Aw Infrabouw Bv
18109879,Aannemingsbedrijf De Klerk
33154028,Ballast Nedam Infra
70288623,Ballast Nedam Road Specialties
09073590,BAM Infra / Van den Herik Twentekanalen
24347782,BAM Infra
50638874,Badus Bodem en Water
39066679,Bedrijfsmilieudienst Flevoland
27261712,BIJ12
02044410,Bioclear earth
34082755,BK Ingenieurs
71730230,Blik Sensing
14622978,BLM Wegenbouw
27240966,BMA Milieu
37078689,Bodem Belang
58074201,Bodemvisie Milieu & Veiligheid
30159072,BOOT organiserend ingenieursburo
24143025,Boskalis Nederland
10039086,BoutenGeotron
01064412,Bouwconsults Nadema
34064993,Bouwontwerpburo Splatch
09149482,BouwRisk Inventarisatie & Management
20075240,Bouwservice Management Nederland
16005077,Brabant Water
67288340,BUHA
24158873,Buro Antares
09148203,Buro Ontwerp en Omgeving
01042375,Ingenieursbureau Ir. K. Boorsma.
60211695,MS
08128785,BZ Ingenieurs en Managers
34171248,CRUX Engineering
71987894,C2engineers
67103375,CWG Ingenieurs
0A28 VOF,Combinatie A1
61094803,Combinatie Dijkverbetering HOP
72163399,Combinatie MGZ
71583440,Combinatie SaVe
76263851,Combinatie STIPT
50684442,Compass Infrastructuur Nederland (CIN)
09132872,Cooperatie Bosgroep Midden Nederland U.A.
27263029,Daallin
59459352,DAGnl
17200060,DataScore Software
88364321,Dawaco
01088169,De Boer Advies & Uitvoering
71651128,De Groene Boog Construction
24450933,De Vries & Van de Wiel Kust- en Oeverwerken
20094279,De Vries Constructiebureau
24277837,DEME Infra Marine Contractors
54628490,Diseo
27122974,Dunea
34196257,Dura Vermeer Infra Regionale Projecten
16061078,Dura Vermeer Bouw Zuid
37104311,Duwabo
18076018,DVA Engineering
13038286,Econsultancy
70686149,Eijkelkamp GeoPoint SoilSolutions
09043479,Eijkelkamp Soil & Water
30192532,Energeo
01085113,Enviso
24170650,Evides
18031929,F.L. Liebregts
23045407,Fa. Gebr. van der Lee
76504972,FCC Construccion S.A..
71221875,Fellinga Bouw en Installatie
01070163,FrieslandCampina Nederland
34048179,Fugro Innovation & Technology
27114147,Fugro NL Land
23041923,Gebroeders De Koning
77546504,GelreGroen Construction
50000438,Gemeenschappelijke regeling DCMR Milieudienst Rijnmond
56679750,Gemeenschappelijke Regeling Omgevingsdienst Midden- en West-Brabant
17278704,Gemeente 's-Hertogenbosch
01140749,Gemeente Aa en Hunze
34362237,Gemeente Aalsmeer
09215631,Gemeente Aalten
01176356,Gemeente Achtkarspelen
51378469,Gemeente Alblasserdam
50875825,Gemeente Albrandswaard
62255398,Gemeente Alkmaar
08214858,Gemeente Almelo
32164984,Gemeente Almere
50166727,Gemeente Alphen-Chaam
27375186,Gemeente Alphen aan den Rijn
73578886,Gemeente Altena
01180264,Gemeente Ameland
32160938,Gemeente Amersfoort
34365024,Gemeente Amstelveen
34366966,Gemeente Amsterdam
08223882,Gemeente Apeldoorn
01173706,Gemeente Appingedam
09214908,Gemeente Arnhem
50788590,Gemeente Assen
50210254,Gemeente Asten
20165117,Gemeente Baarle-Nassau
32167607,Gemeente Baarn
24494374,Gemeente Barendrecht
50313851,Gemeente Barneveld
01173414,Gemeente Bedum
50539728,Gemeente Beek
73541532,Gemeente Beekdaelen
37160006,Gemeente Beemster
14130743,Gemeente Beesel
62254944,Gemeente Berg en Dal
51350696,Gemeente Bergen (L.)
37159392,Gemeente Bergen (NH.)
17273202,Gemeente Bergeijk
09212462,Gemeente Berkelland
50475266,Gemeente Bernheze
20169091,Gemeente Bergen Op Zoom
17273055,Gemeente Best
51487659,Gemeente Beuningen
34379987,Gemeente Beverwijk
17272566,Gemeente Bladel
32168837,Gemeente Blaricum
34359304,Gemeente Bloemendaal
52505545,Gemeente Bodegraven-Reeuwijk
17278721,Gemeente Boekel
50651072,Gemeente Borger-Odoorn
50450948,Gemeente Borne
20164138,Gemeente Borsele
50650068,Gemeente Boxmeer
17278580,Gemeente Boxtel
20169706,Gemeente Breda
51392380,Gemeente Brielle
09218559,Gemeente Bronckhorst
50530003,Gemeente Brummen
14129999,Gemeente Brunssum
30278213,Gemeente Bunnik
32165160,Gemeente Bunschoten
30278157,Gemeente Buren
51332493,Gemeente Capelle aan den Ijssel
37158509,Gemeente Castricum
01173197,Gemeente Coevorden
17282376,Gemeente Cranendonck
17278665,Gemeente Cuijk
30278756,Gemeente Culemborg
08215340,Gemeente Dalfsen
50820753,Gemeente Dantumadiel
30286795,Gemeente De Bilt
59603925,Gemeente De Fryske Marren
30282562,Gemeente De Ronde Venen
01160183,Gemeente De Wolden
27374588,Gemeente Delft
01175851,Gemeente Delfzijl
27370927,Gemeente Den Haag
37160613,Gemeente Den Helder
17281823,Gemeente Deurne
08214418,Gemeente Deventer
34374815,Gemeente Diemen
85028827,Gemeente Dijk en Waard
08226314,Gemeente Dinkelland
09222121,Gemeente Doesburg
09215668,Gemeente Doetinchem
17274669,Gemeente Dongen
50070525,Gemeente Dordrecht
37159718,Gemeente Drechterland
20164410,Gemeente Drimmelen
32165460,Gemeente Dronten
30279480,Gemeente Druten
09217727,Gemeente Duiven
51651866,Gemeente Echt-Susteren
64973395,Gemeente Edam-Volendam
09215646,Gemeente Ede
32170038,Gemeente Eemnes
81425570,Gemeente Eemsdelta
17273265,Gemeente Eersel
08218414,Gemeente Elburg
17272738,Gemeente Eindhoven
51643324,Gemeente Eijsden-Margraten
01181973,Gemeente Emmen
37159077,Gemeente Enkhuizen
08215195,Gemeente Enschede
50483714,Gemeente Epe
08217014,Gemeente Ermelo
50601628,Gemeente Etten-Leur
50771752,Gemeente Geertruidenberg
17272524,Gemeente Geldrop-Mierlo
50371746,Gemeente Gemert-Bakel
14131481,Gemeente Gennep
17272741,Gemeente Gilze en Rijen
56710240,Gemeente Goeree-Overflakkee
20164585,Gemeente Goes
17272690,Gemeente Goirle
64935345,Gemeente Gooise Meren
30280479,Gemeente Gorinchem
24487063,Gemeente Gouda
17278466,Gemeente Grave
73558907,Gemeente Groningen
50413872,Gemeente Gulpen-Wittem
50232274,Gemeente Haaksbergen
34369366,Gemeente Haarlem
73540374,Gemeente Haarlemmermeer
20164480,Gemeente Halderberge
53009886,Gemeente Hardenberg
50197576,Gemeente Harderwijk
51200570,Gemeente Hardinxveld-Giessendam
50945149,Gemeente Harlingen
08217553,Gemeente Hattem
34368749,Gemeente Heemskerk
34381346,Gemeente Heemstede
08213234,Gemeente Heerde
59707720,Gemeente Heerenveen
14128451,Gemeente Heerlen
17274037,Gemeente Heeze-Leende
37159666,Gemeente Heiloo
08221859,Gemeente Hellendoorn
51860015,Gemeente Hellevoetsluis
17272669,Gemeente Helmond
24488714,Gemeente Hendrik-Ido-Ambacht
08218146,Gemeente Hengelo
50916769,Gemeente Heumen
17278565,Gemeente Heusden
27363838,Gemeente Hillegom
17268742,Gemeente Hilvarenbeek
32170443,Gemeente Hilversum
73550728,Gemeente Het Hogeland
73544086,Gemeente Hoeksche Waard
08215304,Gemeente Hof van Twente
54477506,Gemeente Hollands Kroon
01175828,Gemeente Hoogeveen
37159084,Gemeente Hoorn
14130612,Gemeente Horst aan de Maas
30279619,Gemeente Houten
32166112,Gemeente Huizen
20165080,Gemeente Hulst
30279625,Gemeente IJsselstein
27369098,Gemeente Kaag en Braassem
08216768,Gemeente Kampen
51309971,Gemeente Kapelle
27370956,Gemeente Katwijk
50778692,Gemeente Kerkrade
50582445,Gemeente Koggenland
62251686,Gemeente Krimpenerwaard
54596114,Gemeente Krimpen aan den IJssel
17279582,Gemeente Laarbeek
17275949,Gemeente Landerd
14131528,Gemeente Landgraaf
34363827,Gemeente Landsmeer
27366643,Gemeente Lansingerland
32169164,Gemeente Laren
59734817,Gemeente Leeuwarden
27364192,Gemeente Leiden
27364127,Gemeente Leiderdorp
27370940,Gemeente Leidschendam-Voorburg
50000578,Gemeente Lelystad
50277324,Gemeente Leudal
32167695,Gemeente Leusden
50986767,Gemeente Lingewaard
27370966,Gemeente Lisse
08215192,Gemeente Lochem
17280777,Gemeente Loon op Zand
50029886,Gemeente Lopik
01180449,Gemeente Loppersum
50869744,Gemeente Losser
30272405,Gemeente Maasdriel
52925811,Gemeente Maasgouw
85031186,Gemeente Maashorst
24484110,Gemeente Maassluis
51488744,Gemeente Maastricht
37159672,Gemeente Medemblik
50443089,Gemeente Meerssen
66723019,Gemeente Meierijstad
01178692,Gemeente Meppel
51041510,Gemeente Middelburg
27370601,Gemeente Midden-Delfland
01182848,Gemeente Midden-Drenthe
70476047,Gemeente Midden-Groningen
50466208,Gemeente Mill en Sint Hubert
20151657,Gemeente Moerdijk
73552739,Gemeente Molenlanden
09217772,Gemeente Montferland
30277195,Gemeente Montfoort
09215819,Gemeente Mook en Middelaar
30276311,Gemeente Neder-Betuwe
52395413,Gemeente Nederweert
30280563,Gemeente Neerijnen
30277029,Gemeente Nieuwegein
27364328,Gemeente Nieuwkoop
