Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-03-2020,,,,,,,,
Gegevens beschikbaar:,25-02-2012,tot:,22-01-2020,,,,,,,,
Datum: ,08-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B28B1389,002,,232673,488629,991,01-12-2011,01-12-2011,25-02-2012,,,,
B28B1389,002,,232673,488629,991,01-12-2011,25-02-2012,22-01-2020,1003,12,828,778


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B28B1389,002,25-02-2012,81,69,922,,,,,,
B28B1389,002,26-02-2012,84,72,919,,,,,,
B28B1389,002,27-02-2012,86,74,917,,,,,,
B28B1389,002,28-02-2012,84,72,919,,,,,,
B28B1389,002,29-02-2012,85,73,918,,,,,,
B28B1389,002,01-03-2012,86,74,917,,,,,,
B28B1389,002,02-03-2012,87,75,916,,,,,,
B28B1389,002,03-03-2012,87,75,916,,,,,,
B28B1389,002,04-03-2012,86,74,917,,,,,,
B28B1389,002,05-03-2012,87,75,916,,,,,,
B28B1389,002,06-03-2012,86,74,917,,,,,,
B28B1389,002,07-03-2012,89,77,914,,,,,,
B28B1389,002,08-03-2012,85,73,918,,,,,,
B28B1389,002,09-03-2012,87,75,916,,,,,,
B28B1389,002,10-03-2012,84,72,919,,,,,,
B28B1389,002,11-03-2012,85,73,918,,,,,,
B28B1389,002,12-03-2012,86,74,917,,,,,,
B28B1389,002,13-03-2012,86,74,917,,,,,,
B28B1389,002,14-03-2012,88,76,915,,,,,,
B28B1389,002,15-03-2012,89,77,914,,,,,,
B28B1389,002,16-03-2012,89,77,914,,,,,,
B28B1389,002,17-03-2012,90,78,913,,,,,,
B28B1389,002,18-03-2012,92,80,911,,,,,,
B28B1389,002,19-03-2012,93,81,910,,,,,,
B28B1389,002,20-03-2012,98,86,905,,,,,,
B28B1389,002,21-03-2012,97,85,906,,,,,,
B28B1389,002,22-03-2012,99,87,904,,,,,,
B28B1389,002,23-03-2012,98,86,905,,,,,,
B28B1389,002,24-03-2012,98,86,905,,,,,,
B28B1389,002,25-03-2012,100,88,903,,,,,,
B28B1389,002,26-03-2012,102,90,901,,,,,,
B28B1389,002,27-03-2012,102,90,901,,,,,,
B28B1389,002,28-03-2012,103,91,900,,,,,,
B28B1389,002,29-03-2012,103,91,900,,,,,,
B28B1389,002,30-03-2012,102,90,901,,,,,,
B28B1389,002,31-03-2012,104,92,899,,,,,,
B28B1389,002,01-04-2012,104,92,899,,,,,,
B28B1389,002,02-04-2012,105,93,898,,,,,,
B28B1389,002,03-04-2012,106,94,897,,,,,,
B28B1389,002,04-04-2012,106,94,897,,,,,,
B28B1389,002,05-04-2012,110,98,893,,,,,,
B28B1389,002,06-04-2012,110,98,893,,,,,,
B28B1389,002,07-04-2012,108,96,895,,,,,,
B28B1389,002,08-04-2012,110,98,893,,,,,,
B28B1389,002,09-04-2012,111,99,892,,,,,,
B28B1389,002,10-04-2012,108,96,895,,,,,,
B28B1389,002,11-04-2012,105,93,898,,,,,,
B28B1389,002,12-04-2012,101,89,902,,,,,,
B28B1389,002,13-04-2012,98,86,905,,,,,,
B28B1389,002,14-04-2012,100,88,903,,,,,,
B28B1389,002,15-04-2012,99,87,904,,,,,,
B28B1389,002,16-04-2012,102,90,901,,,,,,
B28B1389,002,17-04-2012,104,92,899,,,,,,
