Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-03-2020,,,,,,,,
Gegevens beschikbaar:,29-10-2015,tot:,11-09-2019,,,,,,,,
Datum: ,08-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B28F1490,003,,259592,490035,2020,18-08-2015,18-08-2015,11-09-2019,2075,55,410,360


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B28F1490,003,29-10-2015,116,61,1959,,,,,,
B28F1490,003,30-10-2015,117,62,1958,,,,,,
B28F1490,003,31-10-2015,118,63,1957,,,,,,
B28F1490,003,01-11-2015,119,64,1956,,,,,,
B28F1490,003,02-11-2015,119,64,1956,,,,,,
B28F1490,003,03-11-2015,119,64,1956,,,,,,
B28F1490,003,04-11-2015,120,65,1955,,,,,,
B28F1490,003,05-11-2015,121,66,1954,,,,,,
B28F1490,003,06-11-2015,112,57,1963,,,,,,
B28F1490,003,07-11-2015,104,49,1971,,,,,,
B28F1490,003,08-11-2015,104,49,1971,,,,,,
B28F1490,003,09-11-2015,104,49,1971,,,,,,
B28F1490,003,10-11-2015,104,49,1971,,,,,,
B28F1490,003,11-11-2015,101,46,1974,,,,,,
B28F1490,003,12-11-2015,104,49,1971,,,,,,
B28F1490,003,13-11-2015,105,50,1970,,,,,,
B28F1490,003,14-11-2015,103,48,1972,,,,,,
B28F1490,003,15-11-2015,72,17,2003,,,,,,
B28F1490,003,16-11-2015,67,12,2008,,,,,,
B28F1490,003,17-11-2015,68,13,2007,,,,,,
B28F1490,003,18-11-2015,70,15,2005,,,,,,
B28F1490,003,19-11-2015,68,13,2007,,,,,,
B28F1490,003,20-11-2015,69,14,2006,,,,,,
B28F1490,003,21-11-2015,71,16,2004,,,,,,
B28F1490,003,22-11-2015,72,17,2003,,,,,,
B28F1490,003,23-11-2015,75,20,2000,,,,,,
B28F1490,003,24-11-2015,76,21,1999,,,,,,
B28F1490,003,25-11-2015,71,16,2004,,,,,,
B28F1490,003,26-11-2015,75,20,2000,,,,,,
B28F1490,003,27-11-2015,76,21,1999,,,,,,
B28F1490,003,28-11-2015,76,21,1999,,,,,,
B28F1490,003,29-11-2015,71,16,2004,,,,,,
B28F1490,003,30-11-2015,64,9,2011,,,,,,
B28F1490,003,01-12-2015,59,4,2016,,,,,,
B28F1490,003,02-12-2015,63,8,2012,,,,,,
B28F1490,003,03-12-2015,66,11,2009,,,,,,
