Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-03-2020,,,,,,,,
Gegevens beschikbaar:,30-10-2015,tot:,18-09-2019,,,,,,,,
Datum: ,08-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B28H1883,002,,256056,484978,1855,26-08-2015,26-08-2015,18-09-2019,1980,125,1563,1513


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B28H1883,002,30-10-2015,120,-5,1860,,,,,,
B28H1883,002,31-10-2015,120,-5,1860,,,,,,
B28H1883,002,01-11-2015,120,-5,1860,,,,,,
B28H1883,002,02-11-2015,120,-5,1860,,,,,,
B28H1883,002,03-11-2015,119,-6,1861,,,,,,
B28H1883,002,04-11-2015,120,-5,1860,,,,,,
B28H1883,002,05-11-2015,120,-5,1860,,,,,,
B28H1883,002,06-11-2015,116,-9,1864,,,,,,
B28H1883,002,07-11-2015,115,-10,1865,,,,,,
B28H1883,002,08-11-2015,115,-10,1865,,,,,,
B28H1883,002,09-11-2015,115,-10,1865,,,,,,
B28H1883,002,10-11-2015,115,-10,1865,,,,,,
B28H1883,002,11-11-2015,115,-10,1865,,,,,,
B28H1883,002,12-11-2015,116,-9,1864,,,,,,
B28H1883,002,13-11-2015,116,-9,1864,,,,,,
B28H1883,002,14-11-2015,115,-10,1865,,,,,,
B28H1883,002,15-11-2015,108,-17,1872,,,,,,
B28H1883,002,16-11-2015,110,-15,1870,,,,,,
B28H1883,002,17-11-2015,110,-15,1870,,,,,,
B28H1883,002,18-11-2015,111,-14,1869,,,,,,
B28H1883,002,19-11-2015,108,-17,1872,,,,,,
B28H1883,002,20-11-2015,109,-16,1871,,,,,,
B28H1883,002,21-11-2015,109,-16,1871,,,,,,
B28H1883,002,22-11-2015,110,-15,1870,,,,,,
B28H1883,002,23-11-2015,110,-15,1870,,,,,,
B28H1883,002,24-11-2015,110,-15,1870,,,,,,
B28H1883,002,25-11-2015,108,-17,1872,,,,,,
B28H1883,002,26-11-2015,109,-16,1871,,,,,,
B28H1883,002,27-11-2015,109,-16,1871,,,,,,
B28H1883,002,28-11-2015,109,-16,1871,,,,,,
B28H1883,002,29-11-2015,107,-18,1873,,,,,,
B28H1883,002,30-11-2015,106,-19,1874,,,,,,
B28H1883,002,01-12-2015,104,-21,1876,,,,,,
B28H1883,002,02-12-2015,106,-19,1874,,,,,,
B28H1883,002,03-12-2015,107,-18,1873,,,,,,
B28H1883,002,04-12-2015,107,-18,1873,,,,,,
B28H1883,002,05-12-2015,108,-17,1872,,,,,,
B28H1883,002,06-12-2015,109,-16,1871,,,,,,
B28H1883,002,07-12-2015,109,-16,1871,,,,,,
B28H1883,002,08-12-2015,109,-16,1871,,,,,,
B28H1883,002,09-12-2015,109,-16,1871,,,,,,
B28H1883,002,10-12-2015,109,-16,1871,,,,,,
B28H1883,002,11-12-2015,106,-19,1874,,,,,,
B28H1883,002,12-12-2015,107,-18,1873,,,,,,
B28H1883,002,13-12-2015,106,-19,1874,,,,,,
B28H1883,002,14-12-2015,107,-18,1873,,,,,,
B28H1883,002,15-12-2015,108,-17,1872,,,,,,
B28H1883,002,16-12-2015,108,-17,1872,,,,,,
B28H1883,002,17-12-2015,107,-18,1873,,,,,,
B28H1883,002,18-12-2015,108,-17,1872,,,,,,
B28H1883,002,19-12-2015,108,-17,1872,,,,,,
B28H1883,002,20-12-2015,109,-16,1871,,,,,,
B28H1883,002,21-12-2015,106,-19,1874,,,,,,
B28H1883,002,22-12-2015,106,-19,1874,,,,,,
B28H1883,002,23-12-2015,107,-18,1873,,,,,,
B28H1883,002,24-12-2015,107,-18,1873,,,,,,
B28H1883,002,25-12-2015,108,-17,1872,,,,,,
B28H1883,002,26-12-2015,108,-17,1872,,,,,,
B28H1883,002,27-12-2015,109,-16,1871,,,,,,
B28H1883,002,28-12-2015,109,-16,1871,,,,,,
B28H1883,002,29-12-2015,109,-16,1871,,,,,,
B28H1883,002,30-12-2015,110,-15,1870,,,,,,
B28H1883,002,31-12-2015,109,-16,1871,,,,,,
B28H1883,002,01-01-2016,110,-15,1870,,,,,,
B28H1883,002,02-01-2016,109,-16,1871,,,,,,
B28H1883,002,03-01-2016,108,-17,1872,,,,,,
B28H1883,002,04-01-2016,106,-19,1874,,,,,,
B28H1883,002,05-01-2016,107,-18,1873,,,,,,
B28H1883,002,06-01-2016,107,-18,1873,,,,,,
B28H1883,002,07-01-2016,108,-17,1872,,,,,,
B28H1883,002,08-01-2016,106,-19,1874,,,,,,
