Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-03-2020,,,,,,,,
Gegevens beschikbaar:,29-10-2015,tot:,28-08-2019,,,,,,,,
Datum: ,08-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B29A0849,004,,265074,495009,2059,02-09-2015,02-09-2015,26-10-2015,2124,65,,
B29A0849,004,,265074,495009,2059,26-10-2015,26-10-2015,28-08-2019,2124,65,,


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B29A0849,004,29-10-2015,155,90,1969,,,,,,
B29A0849,004,30-10-2015,156,91,1968,,,,,,
B29A0849,004,31-10-2015,157,92,1967,,,,,,
B29A0849,004,01-11-2015,158,93,1966,,,,,,
B29A0849,004,02-11-2015,158,93,1966,,,,,,
B29A0849,004,03-11-2015,158,93,1966,,,,,,
B29A0849,004,04-11-2015,159,94,1965,,,,,,
B29A0849,004,05-11-2015,160,95,1964,,,,,,
B29A0849,004,06-11-2015,156,91,1968,,,,,,
B29A0849,004,07-11-2015,154,89,1970,,,,,,
B29A0849,004,08-11-2015,154,89,1970,,,,,,
B29A0849,004,09-11-2015,153,88,1971,,,,,,
B29A0849,004,10-11-2015,152,87,1972,,,,,,
B29A0849,004,11-11-2015,151,86,1973,,,,,,
B29A0849,004,12-11-2015,152,87,1972,,,,,,
B29A0849,004,13-11-2015,152,87,1972,,,,,,
B29A0849,004,14-11-2015,150,85,1974,,,,,,
B29A0849,004,15-11-2015,139,74,1985,,,,,,
B29A0849,004,16-11-2015,129,64,1995,,,,,,
B29A0849,004,17-11-2015,123,58,2001,,,,,,
B29A0849,004,18-11-2015,121,56,2003,,,,,,
B29A0849,004,19-11-2015,116,51,2008,,,,,,
B29A0849,004,20-11-2015,115,50,2009,,,,,,
B29A0849,004,21-11-2015,115,50,2009,,,,,,
B29A0849,004,22-11-2015,117,52,2007,,,,,,
B29A0849,004,23-11-2015,120,55,2004,,,,,,
B29A0849,004,24-11-2015,120,55,2004,,,,,,
B29A0849,004,25-11-2015,115,50,2009,,,,,,
B29A0849,004,26-11-2015,118,53,2006,,,,,,
B29A0849,004,27-11-2015,119,54,2005,,,,,,
B29A0849,004,28-11-2015,118,53,2006,,,,,,
B29A0849,004,29-11-2015,114,49,2010,,,,,,
B29A0849,004,30-11-2015,109,44,2015,,,,,,
B29A0849,004,01-12-2015,99,34,2025,,,,,,
B29A0849,004,02-12-2015,98,33,2026,,,,,,
B29A0849,004,03-12-2015,101,36,2023,,,,,,
B29A0849,004,04-12-2015,101,36,2023,,,,,,
B29A0849,004,05-12-2015,103,38,2021,,,,,,
B29A0849,004,06-12-2015,106,41,2018,,,,,,
B29A0849,004,07-12-2015,109,44,2015,,,,,,
B29A0849,004,08-12-2015,111,46,2013,,,,,,
B29A0849,004,09-12-2015,110,45,2014,,,,,,
B29A0849,004,10-12-2015,112,47,2012,,,,,,
B29A0849,004,11-12-2015,104,39,2020,,,,,,
B29A0849,004,12-12-2015,104,39,2020,,,,,,
B29A0849,004,13-12-2015,96,31,2028,,,,,,
B29A0849,004,14-12-2015,97,32,2027,,,,,,
B29A0849,004,15-12-2015,100,35,2024,,,,,,
B29A0849,004,16-12-2015,102,37,2022,,,,,,
B29A0849,004,17-12-2015,102,37,2022,,,,,,
B29A0849,004,18-12-2015,104,39,2020,,,,,,
B29A0849,004,19-12-2015,106,41,2018,,,,,,
B29A0849,004,20-12-2015,108,43,2016,,,,,,
B29A0849,004,21-12-2015,106,41,2018,,,,,,
B29A0849,004,22-12-2015,101,36,2023,,,,,,
B29A0849,004,23-12-2015,103,38,2021,,,,,,
B29A0849,004,24-12-2015,106,41,2018,,,,,,
B29A0849,004,25-12-2015,109,44,2015,,,,,,
B29A0849,004,26-12-2015,110,45,2014,,,,,,
B29A0849,004,27-12-2015,113,48,2011,,,,,,
B29A0849,004,28-12-2015,115,50,2009,,,,,,
B29A0849,004,29-12-2015,116,51,2008,,,,,,
B29A0849,004,30-12-2015,118,53,2006,,,,,,
B29A0849,004,31-12-2015,118,53,2006,,,,,,
B29A0849,004,01-01-2016,120,55,2004,,,,,,
B29A0849,004,02-01-2016,120,55,2004,,,,,,
B29A0849,004,03-01-2016,117,52,2007,,,,,,
B29A0849,004,04-01-2016,111,46,2013,,,,,,
B29A0849,004,05-01-2016,113,48,2011,,,,,,
B29A0849,004,06-01-2016,113,48,2011,,,,,,
B29A0849,004,07-01-2016,114,49,2010,,,,,,
B29A0849,004,08-01-2016,104,39,2020,,,,,,
B29A0849,004,09-01-2016,103,38,2021,,,,,,
B29A0849,004,10-01-2016,103,38,2021,,,,,,
B29A0849,004,11-01-2016,105,40,2019,,,,,,
B29A0849,004,12-01-2016,105,40,2019,,,,,,
B29A0849,004,13-01-2016,108,43,2016,,,,,,
B29A0849,004,14-01-2016,108,43,2016,,,,,,
B29A0849,004,15-01-2016,100,35,2024,,,,,,
B29A0849,004,16-01-2016,99,34,2025,,,,,,
B29A0849,004,17-01-2016,101,36,2023,,,,,,
B29A0849,004,18-01-2016,104,39,2020,,,,,,
B29A0849,004,19-01-2016,107,42,2017,,,,,,
B29A0849,004,20-01-2016,110,45,2014,,,,,,
B29A0849,004,21-01-2016,111,46,2013,,,,,,
B29A0849,004,22-01-2016,113,48,2011,,,,,,
B29A0849,004,23-01-2016,110,45,2014,,,,,,
B29A0849,004,24-01-2016,109,44,2015,,,,,,
B29A0849,004,25-01-2016,109,44,2015,,,,,,
B29A0849,004,26-01-2016,110,45,2014,,,,,,
B29A0849,004,27-01-2016,107,42,2017,,,,,,
B29A0849,004,28-01-2016,98,33,2026,,,,,,
B29A0849,004,29-01-2016,97,32,2027,,,,,,
B29A0849,004,30-01-2016,90,25,2034,,,,,,
B29A0849,004,31-01-2016,86,21,2038,,,,,,
B29A0849,004,01-02-2016,85,20,2039,,,,,,
B29A0849,004,02-02-2016,86,21,2038,,,,,,
B29A0849,004,03-02-2016,90,25,2034,,,,,,
B29A0849,004,04-02-2016,91,26,2033,,,,,,
B29A0849,004,05-02-2016,90,25,2034,,,,,,
B29A0849,004,06-02-2016,90,25,2034,,,,,,
B29A0849,004,07-02-2016,92,27,2032,,,,,,
B29A0849,004,08-02-2016,92,27,2032,,,,,,
B29A0849,004,09-02-2016,88,23,2036,,,,,,
B29A0849,004,10-02-2016,78,13,2046,,,,,,
B29A0849,004,11-02-2016,79,14,2045,,,,,,
B29A0849,004,12-02-2016,81,16,2043,,,,,,
B29A0849,004,13-02-2016,83,18,2041,,,,,,
B29A0849,004,14-02-2016,84,19,2040,,,,,,
B29A0849,004,15-02-2016,79,14,2045,,,,,,
B29A0849,004,16-02-2016,81,16,2043,,,,,,
B29A0849,004,17-02-2016,82,17,2042,,,,,,
B29A0849,004,18-02-2016,85,20,2039,,,,,,
B29A0849,004,19-02-2016,88,23,2036,,,,,,
B29A0849,004,20-02-2016,87,22,2037,,,,,,
B29A0849,004,21-02-2016,81,16,2043,,,,,,
B29A0849,004,22-02-2016,74,9,2050,,,,,,
B29A0849,004,23-02-2016,75,10,2049,,,,,,
B29A0849,004,24-02-2016,78,13,2046,,,,,,
B29A0849,004,25-02-2016,81,16,2043,,,,,,
B29A0849,004,26-02-2016,84,19,2040,,,,,,
B29A0849,004,27-02-2016,88,23,2036,,,,,,
B29A0849,004,28-02-2016,92,27,2032,,,,,,
B29A0849,004,29-02-2016,95,30,2029,,,,,,
B29A0849,004,01-03-2016,97,32,2027,,,,,,
B29A0849,004,02-03-2016,88,23,2036,,,,,,
B29A0849,004,03-03-2016,85,20,2039,,,,,,
B29A0849,004,04-03-2016,85,20,2039,,,,,,
B29A0849,004,05-03-2016,80,15,2044,,,,,,
B29A0849,004,06-03-2016,84,19,2040,,,,,,
B29A0849,004,07-03-2016,87,22,2037,,,,,,
B29A0849,004,08-03-2016,92,27,2032,,,,,,
B29A0849,004,09-03-2016,93,28,2031,,,,,,
B29A0849,004,10-03-2016,98,33,2026,,,,,,
B29A0849,004,11-03-2016,101,36,2023,,,,,,
B29A0849,004,12-03-2016,104,39,2020,,,,,,
B29A0849,004,13-03-2016,106,41,2018,,,,,,
B29A0849,004,14-03-2016,107,42,2017,,,,,,
B29A0849,004,15-03-2016,108,43,2016,,,,,,
B29A0849,004,16-03-2016,110,45,2014,,,,,,
B29A0849,004,17-03-2016,111,46,2013,,,,,,
B29A0849,004,18-03-2016,111,46,2013,,,,,,
B29A0849,004,19-03-2016,112,47,2012,,,,,,
B29A0849,004,20-03-2016,113,48,2011,,,,,,
B29A0849,004,21-03-2016,112,47,2012,,,,,,
B29A0849,004,22-03-2016,112,47,2012,,,,,,
B29A0849,004,23-03-2016,113,48,2011,,,,,,
B29A0849,004,24-03-2016,114,49,2010,,,,,,
B29A0849,004,25-03-2016,111,46,2013,,,,,,
B29A0849,004,26-03-2016,111,46,2013,,,,,,
B29A0849,004,27-03-2016,109,44,2015,,,,,,
B29A0849,004,28-03-2016,107,42,2017,,,,,,
B29A0849,004,29-03-2016,108,43,2016,,,,,,
B29A0849,004,30-03-2016,99,34,2025,,,,,,
B29A0849,004,31-03-2016,101,36,2023,,,,,,
B29A0849,004,01-04-2016,105,40,2019,,,,,,
B29A0849,004,02-04-2016,107,42,2017,,,,,,
B29A0849,004,03-04-2016,109,44,2015,,,,,,
B29A0849,004,04-04-2016,111,46,2013,,,,,,
B29A0849,004,05-04-2016,113,48,2011,,,,,,
B29A0849,004,06-04-2016,109,44,2015,,,,,,
B29A0849,004,07-04-2016,109,44,2015,,,,,,
B29A0849,004,08-04-2016,110,45,2014,,,,,,
B29A0849,004,09-04-2016,111,46,2013,,,,,,
B29A0849,004,10-04-2016,114,49,2010,,,,,,
B29A0849,004,11-04-2016,116,51,2008,,,,,,
B29A0849,004,12-04-2016,117,52,2007,,,,,,
B29A0849,004,13-04-2016,117,52,2007,,,,,,
B29A0849,004,14-04-2016,117,52,2007,,,,,,
B29A0849,004,15-04-2016,115,50,2009,,,,,,
B29A0849,004,16-04-2016,107,42,2017,,,,,,
B29A0849,004,17-04-2016,111,46,2013,,,,,,
B29A0849,004,18-04-2016,114,49,2010,,,,,,
B29A0849,004,19-04-2016,117,52,2007,,,,,,
B29A0849,004,20-04-2016,120,55,2004,,,,,,
B29A0849,004,21-04-2016,121,56,2003,,,,,,
B29A0849,004,22-04-2016,122,57,2002,,,,,,
B29A0849,004,23-04-2016,123,58,2001,,,,,,
B29A0849,004,24-04-2016,124,59,2000,,,,,,
B29A0849,004,25-04-2016,124,59,2000,,,,,,
B29A0849,004,26-04-2016,119,54,2005,,,,,,
B29A0849,004,27-04-2016,116,51,2008,,,,,,
B29A0849,004,28-04-2016,119,54,2005,,,,,,
B29A0849,004,29-04-2016,121,56,2003,,,,,,
B29A0849,004,30-04-2016,123,58,2001,,,,,,
B29A0849,004,01-05-2016,125,60,1999,,,,,,
B29A0849,004,02-05-2016,126,61,1998,,,,,,
B29A0849,004,03-05-2016,126,61,1998,,,,,,
B29A0849,004,04-05-2016,129,64,1995,,,,,,
B29A0849,004,05-05-2016,130,65,1994,,,,,,
B29A0849,004,06-05-2016,130,65,1994,,,,,,
B29A0849,004,07-05-2016,132,67,1992,,,,,,
B29A0849,004,08-05-2016,133,68,1991,,,,,,
B29A0849,004,09-05-2016,134,69,1990,,,,,,
B29A0849,004,10-05-2016,135,70,1989,,,,,,
B29A0849,004,11-05-2016,136,71,1988,,,,,,
B29A0849,004,12-05-2016,137,72,1987,,,,,,
B29A0849,004,13-05-2016,139,74,1985,,,,,,
B29A0849,004,14-05-2016,141,76,1983,,,,,,
B29A0849,004,15-05-2016,142,77,1982,,,,,,
B29A0849,004,16-05-2016,143,78,1981,,,,,,
B29A0849,004,17-05-2016,144,79,1980,,,,,,
B29A0849,004,18-05-2016,144,79,1980,,,,,,
B29A0849,004,19-05-2016,145,80,1979,,,,,,
